train_lang,test_lang,acc,f1
bn,ja,0.7287564319049076,0.2247911006305429
bn,jv,0.7606837606837606,0.5094339622641509
bn,ka,0.8367402259761703,0.6130746130746131
bn,kk,0.8297051872123399,0.4263135412217002
bn,ko,0.8155249671972866,0.4946630499876704
bn,ml,0.8462633451957295,0.6053249804228661
bn,mr,0.8084985835694051,0.5434451219512194
bn,ms,0.7240497698994375,0.4977085242896426
bn,my,0.8405627198124267,0.5980066445182725
bn,nl,0.8563805766168326,0.6388921214942396
bn,pt,0.7693015566023022,0.6217394751446921
bn,ru,0.7872195108069266,0.5270222257313173
bn,sw,0.7067213407024425,0.5526910900045229
bn,ta,0.8371040723981901,0.5688960515713135
bn,te,0.8508663366336634,0.5326474079936684
bn,th,0.3539497933939672,0.03934634648896877
bn,tl,0.6651017214397497,0.5471066475370636
bn,tr,0.8351244567364678,0.6261310718206944
bn,ur,0.7336383528943704,0.4667547335975341
bn,vi,0.6989660863878422,0.4539818372336709
bn,yo,0.4601226993865031,0.26519337016574585
bn,zh,0.7877734203161708,0.3152872320122145
de,af,0.9138057646410869,0.7496740547588004
de,ar,0.8070491981770388,0.606611993849308
de,bg,0.8624943169581968,0.7139962218787567
de,bn,0.7532675991745013,0.6577701248385708
de,de,0.969745923010071,0.8893776591908847
de,el,0.8964485191036738,0.7267670547101593
de,en,0.7782979040429124,0.5664508377277886
de,es,0.8541559794183028,0.7533196935050346
de,et,0.8496466715344727,0.6790396850504411
de,eu,0.8436074659535696,0.5584155774873298
de,fa,0.6480910046202859,0.4110558137621848
de,fi,0.8651236267024103,0.7022791047840669
de,fr,0.8396364702433304,0.7201748436204687
de,he,0.8301221230077884,0.5506303963007116
de,hi,0.7763429752066116,0.6210045662100456
de,hu,0.8799441391116317,0.715390215996949
de,id,0.6636732188716424,0.45752437126239043
de,it,0.8173989125679645,0.6606749684172533
de,ja,0.668741939343979,0.23321323288568624
de,jv,0.7162393162393162,0.5241935483870969
de,ka,0.8682586034820537,0.6705411729187108
de,kk,0.7981092175643737,0.5277572168763879
de,ko,0.7354987250266135,0.4780144222706691
de,ml,0.8725978647686833,0.6606156274664562
de,mr,0.8475920679886686,0.6501901140684411
de,ms,0.7726265553093574,0.6072186836518046
de,my,0.6998827667057445,0.4658385093167702
de,nl,0.8874099778955625,0.7422158653317197
de,pt,0.8185887637645444,0.7092171812485846
de,ru,0.8132870416482876,0.5784624679051502
de,sw,0.7250846853271528,0.524458700882117
