train_lang,test_lang,acc,f1
de,fi,0.8191207627118644,0.7889766067709594
de,fr,0.490428895821396,0.5857598211123535
de,he,0.723139507059105,0.6568802304842914
de,hi,0.6969077434193713,0.6458839144087275
de,hu,0.8617971623751971,0.8293495297805641
de,id,0.7453219156359023,0.7059038067016185
de,it,0.8075395736114923,0.7987970040774622
de,ja,0.32029275943190727,0.2663739480424442
de,ko,0.5783918788269417,0.4659555956562369
de,mr,0.86,0.8068669527896997
de,nl,0.8932339349550964,0.8801610336110851
de,pt,0.8071860191058847,0.7945133000886231
de,ru,0.8740617716033102,0.8534051558291651
de,ta,0.7617360496014172,0.676810073452256
de,te,0.823262839879154,0.7917695473251029
de,tr,0.7154546384371484,0.6491607696356512
de,ur,0.6629174953706879,0.5776796303112093
de,vi,0.49070696543338543,0.44980314960629925
de,zh,0.3879017610360894,0.30037783375314864
el,af,0.8450253902576641,0.8346150102209675
el,ar,0.6588547679519742,0.5830608391286326
el,bg,0.8858226117222947,0.8724078246954705
el,de,0.840071119682975,0.8273525271425602
el,el,0.9787947529342145,0.9760371038392167
el,en,0.8355632903308213,0.8259046515195418
el,es,0.7977884344146685,0.782801942756779
el,et,0.8430498297185876,0.8117404322773822
el,eu,0.7311060385972193,0.6713345864661654
el,fa,0.7177403998730562,0.6171323303653669
el,fi,0.827036252354049,0.7966310733179709
el,fr,0.5290953078245368,0.5679210885674082
el,he,0.6957406078009093,0.6285990471587378
el,hi,0.6648209671465486,0.6081262864459248
el,hu,0.8095112979506043,0.7663091606809014
el,id,0.7266095781795116,0.6957410245692257
el,it,0.793796321712874,0.7740290347818528
el,ja,0.34634486364032413,0.28359943720560343
el,ko,0.5984799656246643,0.46984818438932413
el,mr,0.8175,0.7543859649122806
el,nl,0.8206905571540675,0.8083658044223275
el,pt,0.787854474337437,0.7761728067850515
el,ru,0.8801633746997313,0.8639771092650561
el,ta,0.7183348095659876,0.6290832455216017
el,te,0.8444108761329305,0.8106755629691408
el,tr,0.7492073233098088,0.6824543790232092
el,ur,0.5867224470200947,0.5156128185138075
el,vi,0.5739100225812055,0.4865626572722697
el,zh,0.45313116954908,0.35579459068107766
en,af,0.8835809667105511,0.8720646984312579
en,ar,0.5995920880474102,0.546226045245947
en,bg,0.8866306171918702,0.8730567415181044
en,de,0.8852682809227478,0.8797911369616837
en,el,0.8695137587533287,0.8589750273708358
en,en,0.9664867799208072,0.9606482662449195
en,es,0.8951875881523272,0.8786494490605852
