col1,col2,chi2,p,result
20A Fusion of Selected Inflectional Formatives,115A Negative Indefinite Pronouns and Predicate Negation,1.774691358024691,0.9392105678553604,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,116A Polar Questions,13.686274509803916,0.321189221102878,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,117A Predicative Possession,20.011160714285708,0.21971839306395052,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,118A Predicative Adjectives,15.016160310277956,0.05883199339498527,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,119A Nominal and Locational Predication,7.4411764705882355,0.11433131001071188,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,120A Zero Copula for Predicate Nominals,8.969275210084033,0.061872059424116735,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,121A Comparative Constructions,16.647619047619052,0.033994867277941584,Dependent (reject H0)
20A Fusion of Selected Inflectional Formatives,122A Relativization on Subjects,28.28571428571429,0.005023407923384253,Dependent (reject H0)
20A Fusion of Selected Inflectional Formatives,123A Relativization on Obliques,17.722222222222218,0.12438880054389433,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,124A 'Want' Complement Subjects,1.833333333333333,0.9996218728027187,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,125A Purpose Clauses,16.647619047619052,0.033994867277941584,Dependent (reject H0)
20A Fusion of Selected Inflectional Formatives,126A 'When' Clauses,8.749999999999998,0.3638227165621705,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,127A Reason Clauses,4.921875,0.2954079508010624,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,128A Utterance Complement Clauses,1.5441176470588238,0.8187988941460014,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,129A Hand and Arm,1.3511111111111112,0.7170334798993092,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,130A Finger and Hand,0.0,1.0,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,131A Numeral Bases,24.63492063492064,0.001792066731133367,Dependent (reject H0)
20A Fusion of Selected Inflectional Formatives,132A Number of Non-Derived Basic Colour Categories,0.0,1.0,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,133A Number of Basic Colour Categories,1.4693877551020411,0.2254423169945096,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,134A Green and Blue,0.0,1.0,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,135A Red and Yellow,0.0,1.0,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,136A M-T Pronouns,5.856481481481483,0.21012576138989092,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,137A N-M Pronouns,0.0,1.0,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,138A Tea,5.1428571428571415,0.7422039707470803,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,142A Para-Linguistic Usages of Clicks,3.3090909090909086,0.769171317089168,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,143F Postverbal Negative Morphemes,2.1052631578947367,0.9776135760445396,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,90B Prenominal relative clauses,1.2152777777777777,0.2702893848016955,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,90C Postnominal relative clauses,0.44270833333333337,0.9788332764431094,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,144P NegSOV Order,0.0,1.0,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,144J SVNegO Order,0.7142857142857143,0.9495555864376768,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,144N Obligatory Double Negation in SOV languages,0.0,1.0,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,144S SOVNeg Order,0.0,1.0,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,144X Verb-Initial with Clause-Final Negative,0.0,1.0,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,"144A Position of Negative Word With Respect to Subject, Object, and Verb",9.45454545454546,0.9964541596494728,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,90E Correlative relative clauses,0.0,1.0,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,144V Verb-Initial with Preverbal Negative,0.0,1.0,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,144I SNegVO Order,2.5,0.9981619145494116,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,144R SONegV Order,0.0,1.0,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,143B Obligatory Double Negation,0.0,1.0,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,144M Multiple Negative Constructions in SOV Languages,0.0,1.0,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,144G Optional Double Negation in SVO languages,0.0,1.0,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,144K SVONeg Order,0.7142857142857143,0.9495555864376768,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,144B Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,1.5126050420168071,0.9924965221409064,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,90D Internally-headed relative clauses,0.0,1.0,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,144E Multiple Negative Constructions in SVO Languages,0.0,1.0,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,144D The Position of Negative Morphemes in SVO Languages,5.000000000000001,0.9957533045106556,Independent (fail to reject H0)
